城市,city,省份,地区,地区代码
安阳  ,1,河南,华中,4
鞍山  ,2,辽宁,东北,1
包头  ,3,内蒙古,华北,2
宝鸡  ,4,陕西,西北,7
保定  ,5,河北,华北,2
北海  ,6,广西,华南,5
北京  ,7,北京,华北,2
本溪  ,8,辽宁,东北,1
常德  ,9,湖南,华中,4
常州  ,10,江苏,华东,3
成都  ,11,四川,西南,6
赤峰  ,12,内蒙古,华北,2
大连  ,13,辽宁,东北,1
大同  ,14,山西,华北,2
德阳  ,15,四川,西南,6
福州  ,16,福建,华东,3
抚顺  ,17,辽宁,东北,1
广州  ,18,广东,华南,5
贵阳  ,19,贵州,西南,6
桂林  ,20,广西,华南,5
哈尔滨  ,21,黑龙江,东北,1
海口  ,22,海南,华南,5
邯郸  ,23,河北,华北,2
杭州  ,24,浙江,华东,3
合肥  ,25,安徽,华东,3
呼和浩特  ,26,内蒙古,华北,2
湖州  ,27,浙江,华东,3
吉林  ,28,吉林,东北,1
济南  ,29,山东,华东,3
济宁  ,30,山东,华东,3
焦作  ,31,河南,华中,4
金昌  ,32,甘肃,西北,7
锦州  ,33,辽宁,东北,1
荆州  ,34,湖北,华中,4
九江  ,35,江西,华东,3
开封  ,36,河南,华中,4
克拉玛依  ,37,新疆,西北,7
昆明  ,38,云南,西南,6
拉萨  ,39,西藏,西南,6
兰州  ,40,甘肃,西北,7
连云港  ,41,江苏,华东,3
临汾  ,42,山西,华北,2
柳州  ,43,广西,华南,5
泸州  ,44,四川,西南,6
洛阳  ,45,河南,华中,4
马鞍山  ,46,安徽,华东,3
绵阳  ,47,四川,西南,6
牡丹江  ,48,黑龙江,东北,1
南昌  ,49,江西,华东,3
南充  ,50,四川,西南,6
南京  ,51,江苏,华东,3
南宁  ,52,广西,华南,5
南通  ,53,江苏,华东,3
宁波  ,54,浙江,华东,3
攀枝花  ,55,四川,西南,6
平顶山  ,56,河南,华中,4
齐齐哈尔  ,57,黑龙江,东北,1
秦皇岛  ,58,河北,华北,2
青岛  ,59,山东,华东,3
曲靖  ,60,云南,西南,6
泉州  ,61,福建,华东,3
日照  ,62,山东,华东,3
三门峡  ,63,河南,华中,4
厦门  ,64,福建,华东,3
汕头  ,65,广东,华南,5
上海  ,66,上海,华东,3
韶关  ,67,广东,华南,5
绍兴  ,68,浙江,华东,3
深圳  ,69,广东,华南,5
沈阳  ,70,辽宁,东北,1
石家庄  ,71,河北,华北,2
石嘴山  ,72,宁夏,西北,7
苏州  ,73,江苏,华东,3
太原  ,74,山西,华北,2
泰安  ,75,山东,华东,3
唐山  ,76,河北,华北,2
天津  ,77,天津,华北,2
铜川  ,78,陕西,西北,7
威海  ,79,山东,华东,3
渭南  ,80,陕西,西北,7
温州  ,81,浙江,华东,3
乌鲁木齐  ,82,新疆,西北,7
无锡  ,83,江苏,华东,3
芜湖  ,84,安徽,华东,3
武汉  ,85,湖北,华中,4
西安  ,86,陕西,西北,7
西宁  ,87,青海,西北,7
咸阳  ,88,陕西,西北,7
湘潭  ,89,湖南,华中,4
徐州  ,90,江苏,华东,3
烟台  ,91,山东,华东,3
延安  ,92,陕西,西北,7
扬州  ,93,江苏,华东,3
阳泉  ,94,山西,华北,2
宜宾  ,95,四川,西南,6
宜昌  ,96,湖北,华中,4
银川  ,97,宁夏,西北,7
玉溪  ,98,云南,西南,6
岳阳  ,99,湖南,华中,4
枣庄  ,100,山东,华东,3
湛江  ,101,广东,华南,5
张家界  ,102,湖南,华中,4
长春  ,103,吉林,东北,1
长沙  ,104,湖南,华中,4
长治  ,105,山西,华北,2
镇江  ,106,江苏,华东,3
郑州  ,107,河南,华中,4
重庆  ,108,重庆,西南,6
珠海  ,109,广东,华南,5
株洲  ,110,湖南,华中,4
淄博  ,111,山东,华东,3
自贡  ,112,四川,西南,6
遵义  ,113,贵州,西南,6
